에피소드=1,아파트수=276, 병원수=242, 기지국수=247, ITS수=275, 수용 가능 인원=54900, 인구수=54582.0, 누적자본=283904306.0, 누적 만족도=80.0, 누적보상=-2678.0
에피소드=69,아파트수=0, 병원수=3, 기지국수=1, ITS수=0, 수용 가능 인원=0, 인구수=0.0, 누적자본=-109.0, 누적 만족도=100, 누적보상=100.0
에피소드=70,아파트수=0, 병원수=2, 기지국수=2, ITS수=1, 수용 가능 인원=0, 인구수=0.0, 누적자본=-86.0, 누적 만족도=100, 누적보상=100.0
에피소드=71,아파트수=0, 병원수=1, 기지국수=3, ITS수=2, 수용 가능 인원=0, 인구수=0.0, 누적자본=-61.0, 누적 만족도=100, 누적보상=60.0
에피소드=72,아파트수=260, 병원수=266, 기지국수=255, ITS수=259, 수용 가능 인원=51500, 인구수=51312.0, 누적자본=257615149.0, 누적 만족도=99.0, 누적보상=10580.0
에피소드=73,아파트수=268, 병원수=267, 기지국수=264, ITS수=241, 수용 가능 인원=53400, 인구수=53115.0, 누적자본=268848820.0, 누적 만족도=99.0, 누적보상=-7335.0
에피소드=74,아파트수=256, 병원수=266, 기지국수=267, ITS수=251, 수용 가능 인원=51200, 인구수=51181.0, 누적자본=276265354.0, 누적 만족도=100, 누적보상=9030.0
에피소드=75,아파트수=255, 병원수=258, 기지국수=251, ITS수=276, 수용 가능 인원=50800, 인구수=50423.0, 누적자본=264630523.0, 누적 만족도=100.0, 누적보상=4512.0
에피소드=76,아파트수=258, 병원수=271, 기지국수=240, ITS수=271, 수용 가능 인원=51300, 인구수=51028.0, 누적자본=253760063.0, 누적 만족도=88.0, 누적보상=11294.0
에피소드=77,아파트수=241, 병원수=262, 기지국수=278, ITS수=259, 수용 가능 인원=48100, 인구수=47902.0, 누적자본=248559304.0, 누적 만족도=100, 누적보상=12343.0
에피소드=78,아파트수=267, 병원수=258, 기지국수=252, ITS수=263, 수용 가능 인원=53200, 인구수=52912.0, 누적자본=278243653.0, 누적 만족도=91.0, 누적보상=-838.0
에피소드=79,아파트수=0, 병원수=1, 기지국수=3, ITS수=1, 수용 가능 인원=0, 인구수=0.0, 누적자본=-48.0, 누적 만족도=100, 누적보상=100.0
에피소드=80,아파트수=263, 병원수=213, 기지국수=256, ITS수=308, 수용 가능 인원=52300, 인구수=52123.0, 누적자본=271939961.0, 누적 만족도=97.0, 누적보상=10434.0
에피소드=81,아파트수=249, 병원수=286, 기지국수=244, ITS수=261, 수용 가능 인원=49800, 인구수=49760.0, 누적자본=261395943.0, 누적 만족도=97.0, 누적보상=-18179.0
에피소드=82,아파트수=253, 병원수=254, 기지국수=248, ITS수=285, 수용 가능 인원=50300, 인구수=49991.0, 누적자본=261129480.0, 누적 만족도=99.0, 누적보상=-16091.0
에피소드=83,아파트수=248, 병원수=266, 기지국수=246, ITS수=280, 수용 가능 인원=48900, 인구수=48600.0, 누적자본=261241561.0, 누적 만족도=100, 누적보상=6722.0
에피소드=84,아파트수=253, 병원수=259, 기지국수=269, ITS수=259, 수용 가능 인원=50500, 인구수=50215.0, 누적자본=274369047.0, 누적 만족도=100, 누적보상=4897.0
에피소드=85,아파트수=246, 병원수=260, 기지국수=267, ITS수=267, 수용 가능 인원=49000, 인구수=48794.0, 누적자본=249813916.0, 누적 만족도=100, 누적보상=12362.0
에피소드=86,아파트수=264, 병원수=277, 기지국수=248, ITS수=251, 수용 가능 인원=52800, 인구수=52596.0, 누적자본=267643206.0, 누적 만족도=89.0, 누적보상=2285.0
에피소드=87,아파트수=268, 병원수=252, 기지국수=231, ITS수=289, 수용 가능 인원=53200, 인구수=52891.0, 누적자본=281517756.0, 누적 만족도=72.0, 누적보상=-29120.0
에피소드=88,아파트수=263, 병원수=231, 기지국수=270, ITS수=276, 수용 가능 인원=52500, 인구수=52245.0, 누적자본=269114723.0, 누적 만족도=100, 누적보상=7150.0
에피소드=89,아파트수=0, 병원수=2, 기지국수=1, ITS수=2, 수용 가능 인원=0, 인구수=0.0, 누적자본=-62.0, 누적 만족도=100, 누적보상=-20.0
에피소드=90,아파트수=273, 병원수=256, 기지국수=263, ITS수=248, 수용 가능 인원=53700, 인구수=53468.0, 누적자본=278350472.0, 누적 만족도=97.0, 누적보상=-72.0
에피소드=91,아파트수=255, 병원수=278, 기지국수=259, ITS수=248, 수용 가능 인원=50800, 인구수=50760.0, 누적자본=256929732.0, 누적 만족도=100, 누적보상=7903.0
에피소드=92,아파트수=261, 병원수=247, 기지국수=266, ITS수=266, 수용 가능 인원=52200, 인구수=52148.0, 누적자본=270970745.0, 누적 만족도=100, 누적보상=8772.0
에피소드=93,아파트수=261, 병원수=227, 기지국수=275, ITS수=277, 수용 가능 인원=52100, 인구수=51895.0, 누적자본=284340487.0, 누적 만족도=100, 누적보상=-10351.0
에피소드=94,아파트수=265, 병원수=272, 기지국수=267, ITS수=236, 수용 가능 인원=52800, 인구수=52462.0, 누적자본=252266539.0, 누적 만족도=100, 누적보상=12375.0
에피소드=95,아파트수=254, 병원수=271, 기지국수=233, ITS수=282, 수용 가능 인원=50800, 인구수=50321.0, 누적자본=267930690.0, 누적 만족도=85.0, 누적보상=-23359.0
에피소드=96,아파트수=282, 병원수=277, 기지국수=235, ITS수=246, 수용 가능 인원=56200, 인구수=55847.0, 누적자본=288474286.0, 누적 만족도=63.0, 누적보상=-12820.0
에피소드=97,아파트수=0, 병원수=2, 기지국수=2, ITS수=0, 수용 가능 인원=0, 인구수=0.0, 누적자본=-74.0, 누적 만족도=100, 누적보상=20.0
에피소드=98,아파트수=246, 병원수=262, 기지국수=274, ITS수=258, 수용 가능 인원=49200, 인구수=48994.0, 누적자본=254271313.0, 누적 만족도=100, 누적보상=12404.0
에피소드=99,아파트수=287, 병원수=275, 기지국수=234, ITS수=244, 수용 가능 인원=57300, 인구수=56929.0, 누적자본=294467785.0, 누적 만족도=57.0, 누적보상=-13587.0
에피소드=100,아파트수=0, 병원수=3, 기지국수=1, ITS수=0, 수용 가능 인원=0, 인구수=0.0, 누적자본=-121.0, 누적 만족도=100, 누적보상=-20.0
에피소드=101,아파트수=0, 병원수=2, 기지국수=2, ITS수=0, 수용 가능 인원=0, 인구수=0.0, 누적자본=-58.0, 누적 만족도=100, 누적보상=100.0
에피소드=102,아파트수=276, 병원수=267, 기지국수=248, ITS수=249, 수용 가능 인원=55200, 인구수=54906.0, 누적자본=283709249.0, 누적 만족도=79.0, 누적보상=-3649.0
에피소드=103,아파트수=262, 병원수=259, 기지국수=268, ITS수=251, 수용 가능 인원=52300, 인구수=51910.0, 누적자본=267712120.0, 누적 만족도=100, 누적보상=8665.0
에피소드=104,아파트수=251, 병원수=245, 기지국수=293, ITS수=251, 수용 가능 인원=50100, 인구수=49608.0, 누적자본=244856209.0, 누적 만족도=100, 누적보상=12184.0
에피소드=105,아파트수=283, 병원수=267, 기지국수=247, ITS수=243, 수용 가능 인원=56600, 인구수=56232.0, 누적자본=287619675.0, 누적 만족도=73.0, 누적보상=-26150.0
에피소드=106,아파트수=0, 병원수=1, 기지국수=3, ITS수=0, 수용 가능 인원=0, 인구수=0.0, 누적자본=-23.0, 누적 만족도=100, 누적보상=60.0
에피소드=107,아파트수=277, 병원수=248, 기지국수=269, ITS수=246, 수용 가능 인원=55100, 인구수=54742.0, 누적자본=279984077.0, 누적 만족도=97.0, 누적보상=5519.0
에피소드=108,아파트수=240, 병원수=287, 기지국수=249, ITS수=264, 수용 가능 인원=47200, 인구수=47041.0, 누적자본=244791396.0, 누적 만족도=100, 누적보상=10928.0
에피소드=109,아파트수=257, 병원수=265, 기지국수=260, ITS수=258, 수용 가능 인원=51400, 인구수=50929.0, 누적자본=253672783.0, 누적 만족도=100, 누적보상=6539.0
에피소드=110,아파트수=0, 병원수=2, 기지국수=2, ITS수=1, 수용 가능 인원=0, 인구수=0.0, 누적자본=-91.0, 누적 만족도=100, 누적보상=60.0
에피소드=111,아파트수=257, 병원수=274, 기지국수=246, ITS수=263, 수용 가능 인원=51400, 인구수=51319.0, 누적자본=262897113.0, 누적 만족도=92.0, 누적보상=7032.0
에피소드=112,아파트수=251, 병원수=263, 기지국수=276, ITS수=250, 수용 가능 인원=49600, 인구수=49277.0, 누적자본=250045222.0, 누적 만족도=100, 누적보상=11549.0
에피소드=113,아파트수=262, 병원수=258, 기지국수=256, ITS수=264, 수용 가능 인원=52400, 인구수=52168.0, 누적자본=280332636.0, 누적 만족도=97.0, 누적보상=-8652.0
에피소드=114,아파트수=0, 병원수=1, 기지국수=2, ITS수=2, 수용 가능 인원=0, 인구수=0.0, 누적자본=-18.0, 누적 만족도=100, 누적보상=100.0
에피소드=115,아파트수=265, 병원수=251, 기지국수=258, ITS수=266, 수용 가능 인원=53000, 인구수=52881.0, 누적자본=284466985.0, 누적 만족도=96.0, 누적보상=-22681.0
에피소드=116,아파트수=264, 병원수=268, 기지국수=277, ITS수=231, 수용 가능 인원=52800, 인구수=52591.0, 누적자본=289918012.0, 누적 만족도=100, 누적보상=5353.0
에피소드=117,아파트수=294, 병원수=255, 기지국수=233, ITS수=258, 수용 가능 인원=58700, 인구수=58246.0, 누적자본=295123163.0, 누적 만족도=51.0, 누적보상=-38737.0
에피소드=118,아파트수=249, 병원수=252, 기지국수=269, ITS수=270, 수용 가능 인원=49700, 인구수=49297.0, 누적자본=246407115.0, 누적 만족도=100, 누적보상=12319.0
에피소드=119,아파트수=0, 병원수=1, 기지국수=2, ITS수=3, 수용 가능 인원=0, 인구수=0.0, 누적자본=-43.0, 누적 만족도=100, 누적보상=-20.0
에피소드=120,아파트수=0, 병원수=2, 기지국수=2, ITS수=0, 수용 가능 인원=0, 인구수=0.0, 누적자본=-66.0, 누적 만족도=100, 누적보상=100.0
에피소드=121,아파트수=258, 병원수=282, 기지국수=237, ITS수=263, 수용 가능 인원=51500, 인구수=51299.0, 누적자본=269157100.0, 누적 만족도=84.0, 누적보상=-20637.0
에피소드=122,아파트수=0, 병원수=2, 기지국수=0, ITS수=4, 수용 가능 인원=0, 인구수=0.0, 누적자본=-60.0, 누적 만족도=60, 누적보상=-300.0
에피소드=123,아파트수=0, 병원수=2, 기지국수=1, ITS수=2, 수용 가능 인원=0, 인구수=0.0, 누적자본=-65.0, 누적 만족도=100, 누적보상=100.0
에피소드=124,아파트수=0, 병원수=3, 기지국수=1, ITS수=0, 수용 가능 인원=0, 인구수=0.0, 누적자본=-121.0, 누적 만족도=100, 누적보상=-20.0
에피소드=125,아파트수=263, 병원수=242, 기지국수=254, ITS수=281, 수용 가능 인원=51200, 인구수=51153.0, 누적자본=272745514.0, 누적 만족도=99.0, 누적보상=6786.0
에피소드=126,아파트수=255, 병원수=286, 기지국수=252, ITS수=247, 수용 가능 인원=50900, 인구수=50867.0, 누적자본=259059617.0, 누적 만족도=99.0, 누적보상=6760.0
에피소드=127,아파트수=272, 병원수=250, 기지국수=252, ITS수=266, 수용 가능 인원=54300, 인구수=53740.0, 누적자본=258768599.0, 누적 만족도=88.0, 누적보상=10327.0
에피소드=128,아파트수=0, 병원수=3, 기지국수=1, ITS수=0, 수용 가능 인원=0, 인구수=0.0, 누적자본=-113.0, 누적 만족도=100, 누적보상=60.0
에피소드=129,아파트수=263, 병원수=268, 기지국수=263, ITS수=246, 수용 가능 인원=52600, 인구수=52110.0, 누적자본=252236089.0, 누적 만족도=100, 누적보상=6812.0
에피소드=130,아파트수=253, 병원수=272, 기지국수=271, ITS수=244, 수용 가능 인원=50400, 인구수=50146.0, 누적자본=252503412.0, 누적 만족도=100, 누적보상=12322.0
에피소드=131,아파트수=0, 병원수=3, 기지국수=1, ITS수=0, 수용 가능 인원=0, 인구수=0.0, 누적자본=-113.0, 누적 만족도=100, 누적보상=60.0
에피소드=132,아파트수=0, 병원수=3, 기지국수=0, ITS수=2, 수용 가능 인원=0, 인구수=0.0, 누적자본=-100.0, 누적 만족도=60, 누적보상=-300.0
에피소드=133,아파트수=248, 병원수=254, 기지국수=275, ITS수=263, 수용 가능 인원=49300, 인구수=49130.0, 누적자본=252429412.0, 누적 만족도=100, 누적보상=11868.0
에피소드=134,아파트수=272, 병원수=260, 기지국수=246, ITS수=262, 수용 가능 인원=54400, 인구수=53992.0, 누적자본=279812504.0, 누적 만족도=81.0, 누적보상=-614.0
에피소드=135,아파트수=261, 병원수=245, 기지국수=277, ITS수=257, 수용 가능 인원=52100, 인구수=51820.0, 누적자본=269698464.0, 누적 만족도=100, 누적보상=9355.0
에피소드=136,아파트수=259, 병원수=285, 기지국수=239, ITS수=257, 수용 가능 인원=51700, 인구수=51479.0, 누적자본=264740926.0, 누적 만족도=85.0, 누적보상=-5625.0
에피소드=137,아파트수=0, 병원수=2, 기지국수=1, ITS수=1, 수용 가능 인원=0, 인구수=0.0, 누적자본=-41.0, 누적 만족도=100, 누적보상=-20.0
에피소드=138,아파트수=272, 병원수=277, 기지국수=255, ITS수=236, 수용 가능 인원=54400, 인구수=53997.0, 누적자본=276989076.0, 누적 만족도=89.0, 누적보상=3739.0
에피소드=139,아파트수=0, 병원수=3, 기지국수=1, ITS수=0, 수용 가능 인원=0, 인구수=0.0, 누적자본=-109.0, 누적 만족도=100, 누적보상=100.0
에피소드=140,아파트수=259, 병원수=253, 기지국수=257, ITS수=271, 수용 가능 인원=51200, 인구수=50867.0, 누적자본=265145891.0, 누적 만족도=100, 누적보상=8222.0
에피소드=141,아파트수=0, 병원수=3, 기지국수=1, ITS수=0, 수용 가능 인원=0, 인구수=0.0, 누적자본=-121.0, 누적 만족도=100, 누적보상=-20.0
에피소드=142,아파트수=260, 병원수=268, 기지국수=243, ITS수=269, 수용 가능 인원=52000, 인구수=51666.0, 누적자본=264327909.0, 누적 만족도=88.0, 누적보상=4360.0
에피소드=143,아파트수=268, 병원수=267, 기지국수=264, ITS수=241, 수용 가능 인원=53300, 인구수=52892.0, 누적자본=261132829.0, 누적 만족도=100.0, 누적보상=10915.0
에피소드=144,아파트수=253, 병원수=266, 기지국수=253, ITS수=268, 수용 가능 인원=50600, 인구수=50099.0, 누적자본=261680446.0, 누적 만족도=100, 누적보상=-6442.0
에피소드=145,아파트수=261, 병원수=259, 기지국수=284, ITS수=236, 수용 가능 인원=52100, 인구수=51840.0, 누적자본=261418279.0, 누적 만족도=100, 누적보상=12541.0
에피소드=146,아파트수=250, 병원수=261, 기지국수=287, ITS수=242, 수용 가능 인원=49900, 인구수=49605.0, 누적자본=251087969.0, 누적 만족도=100, 누적보상=12226.0
에피소드=147,아파트수=279, 병원수=263, 기지국수=257, ITS수=241, 수용 가능 인원=54500, 인구수=54255.0, 누적자본=278517159.0, 누적 만족도=90.0, 누적보상=799.0
에피소드=148,아파트수=262, 병원수=288, 기지국수=241, ITS수=249, 수용 가능 인원=52000, 인구수=51787.0, 누적자본=265649344.0, 누적 만족도=86.0, 누적보상=650.0
에피소드=149,아파트수=261, 병원수=278, 기지국수=257, ITS수=244, 수용 가능 인원=51800, 인구수=51310.0, 누적자본=272427152.0, 누적 만족도=100, 누적보상=4767.0
에피소드=150,아파트수=253, 병원수=292, 기지국수=272, ITS수=223, 수용 가능 인원=49700, 인구수=49269.0, 누적자본=241291350.0, 누적 만족도=100, 누적보상=12270.0
에피소드=151,아파트수=266, 병원수=254, 기지국수=260, ITS수=260, 수용 가능 인원=53200, 인구수=53060.0, 누적자본=279915044.0, 누적 만족도=97.0, 누적보상=3712.0
