에피소드=1,아파트수=262, 병원수=243, 기지국수=252, ITS수=283, 수용 가능 인원=52100, 인구수=51802.0, 누적자본=264693969.0, 누적 만족도=95.0, 누적보상=14238.0
에피소드=15,아파트수=254, 병원수=236, 기지국수=279, ITS수=271, 수용 가능 인원=50800, 인구수=50582.0, 누적자본=256505355.0, 누적 만족도=100, 누적보상=22128.0
에피소드=16,아파트수=0, 병원수=0, 기지국수=3, ITS수=4, 수용 가능 인원=0, 인구수=0.0, 누적자본=-22.0, 누적 만족도=100, 누적보상=100.0
에피소드=17,아파트수=0, 병원수=2, 기지국수=2, ITS수=0, 수용 가능 인원=0, 인구수=0.0, 누적자본=-66.0, 누적 만족도=100, 누적보상=0.0
에피소드=18,아파트수=237, 병원수=252, 기지국수=271, ITS수=280, 수용 가능 인원=47200, 인구수=46995.0, 누적자본=244788117.0, 누적 만족도=100, 누적보상=19787.0
에피소드=19,아파트수=247, 병원수=258, 기지국수=269, ITS수=266, 수용 가능 인원=49100, 인구수=49076.0, 누적자본=265839159.0, 누적 만족도=100, 누적보상=15809.0
에피소드=20,아파트수=258, 병원수=252, 기지국수=254, ITS수=276, 수용 가능 인원=51600, 인구수=51245.0, 누적자본=268201149.0, 누적 만족도=99.0, 누적보상=4132.0
에피소드=21,아파트수=258, 병원수=259, 기지국수=266, ITS수=257, 수용 가능 인원=51600, 인구수=51352.0, 누적자본=268610231.0, 누적 만족도=100, 누적보상=18409.0
에피소드=22,아파트수=258, 병원수=276, 기지국수=275, ITS수=231, 수용 가능 인원=51600, 인구수=51382.0, 누적자본=261453321.0, 누적 만족도=100, 누적보상=21986.0
에피소드=23,아파트수=0, 병원수=2, 기지국수=2, ITS수=1, 수용 가능 인원=0, 인구수=0.0, 누적자본=-94.0, 누적 만족도=100, 누적보상=-100.0
에피소드=24,아파트수=250, 병원수=274, 기지국수=255, ITS수=261, 수용 가능 인원=49900, 인구수=49711.0, 누적자본=252575885.0, 누적 만족도=100, 누적보상=7584.0
에피소드=25,아파트수=245, 병원수=292, 기지국수=249, ITS수=254, 수용 가능 인원=49000, 인구수=48880.0, 누적자본=269115098.0, 누적 만족도=100, 누적보상=5381.0
에피소드=26,아파트수=273, 병원수=271, 기지국수=245, ITS수=251, 수용 가능 인원=54600, 인구수=54068.0, 누적자본=277267871.0, 누적 만족도=80.0, 누적보상=6640.0
에피소드=27,아파트수=250, 병원수=268, 기지국수=261, ITS수=261, 수용 가능 인원=49900, 인구수=49519.0, 누적자본=249861552.0, 누적 만족도=100, 누적보상=22441.0
에피소드=28,아파트수=253, 병원수=262, 기지국수=249, ITS수=276, 수용 가능 인원=50600, 인구수=50490.0, 누적자본=252712610.0, 누적 만족도=98.0, 누적보상=18595.0
에피소드=29,아파트수=257, 병원수=260, 기지국수=276, ITS수=247, 수용 가능 인원=51300, 인구수=51044.0, 누적자본=262641565.0, 누적 만족도=100, 누적보상=14720.0
에피소드=30,아파트수=260, 병원수=279, 기지국수=256, ITS수=245, 수용 가능 인원=52000, 인구수=51514.0, 누적자본=256500155.0, 누적 만족도=100.0, 누적보상=21098.0
에피소드=31,아파트수=249, 병원수=258, 기지국수=249, ITS수=284, 수용 가능 인원=49700, 인구수=49403.0, 누적자본=254485506.0, 누적 만족도=100, 누적보상=21742.0
에피소드=32,아파트수=260, 병원수=249, 기지국수=265, ITS수=266, 수용 가능 인원=51900, 인구수=51864.0, 누적자본=273802889.0, 누적 만족도=100, 누적보상=21185.0
에피소드=33,아파트수=250, 병원수=267, 기지국수=269, ITS수=254, 수용 가능 인원=49400, 인구수=49358.0, 누적자본=240334289.0, 누적 만족도=100, 누적보상=21282.0
에피소드=34,아파트수=268, 병원수=280, 기지국수=248, ITS수=244, 수용 가능 인원=53600, 인구수=53356.0, 누적자본=272204464.0, 누적 만족도=86.0, 누적보상=16407.0
에피소드=35,아파트수=0, 병원수=1, 기지국수=3, ITS수=2, 수용 가능 인원=0, 인구수=0.0, 누적자본=-61.0, 누적 만족도=100, 누적보상=0.0
에피소드=36,아파트수=245, 병원수=281, 기지국수=260, ITS수=254, 수용 가능 인원=49000, 인구수=48600.0, 누적자본=265653807.0, 누적 만족도=100, 누적보상=18869.0
에피소드=37,아파트수=0, 병원수=2, 기지국수=2, ITS수=1, 수용 가능 인원=0, 인구수=0.0, 누적자본=-78.0, 누적 만족도=100, 누적보상=100.0
에피소드=38,아파트수=0, 병원수=1, 기지국수=2, ITS수=2, 수용 가능 인원=0, 인구수=0.0, 누적자본=-2.0, 누적 만족도=100, 누적보상=0.0
에피소드=39,아파트수=266, 병원수=285, 기지국수=261, ITS수=228, 수용 가능 인원=53200, 인구수=52932.0, 누적자본=266198237.0, 누적 만족도=98.0, 누적보상=21254.0
에피소드=40,아파트수=262, 병원수=261, 기지국수=257, ITS수=260, 수용 가능 인원=52400, 인구수=52343.0, 누적자본=276202808.0, 누적 만족도=97.0, 누적보상=845.0
에피소드=41,아파트수=237, 병원수=257, 기지국수=293, ITS수=253, 수용 가능 인원=47200, 인구수=47160.0, 누적자본=235905377.0, 누적 만족도=100, 누적보상=21792.0
에피소드=42,아파트수=257, 병원수=265, 기지국수=268, ITS수=250, 수용 가능 인원=50900, 인구수=50616.0, 누적자본=255022694.0, 누적 만족도=100, 누적보상=21404.0
에피소드=43,아파트수=246, 병원수=253, 기지국수=253, ITS수=288, 수용 가능 인원=49100, 인구수=48895.0, 누적자본=253978912.0, 누적 만족도=100, 누적보상=21940.0
에피소드=44,아파트수=0, 병원수=3, 기지국수=1, ITS수=0, 수용 가능 인원=0, 인구수=0.0, 누적자본=-109.0, 누적 만족도=100, 누적보상=100.0
에피소드=45,아파트수=283, 병원수=245, 기지국수=258, ITS수=254, 수용 가능 인원=56400, 인구수=56068.0, 누적자본=284619696.0, 누적 만족도=84.0, 누적보상=9212.0
에피소드=46,아파트수=0, 병원수=1, 기지국수=2, ITS수=2, 수용 가능 인원=0, 인구수=0.0, 누적자본=-16.0, 누적 만족도=100, 누적보상=100.0
에피소드=47,아파트수=0, 병원수=1, 기지국수=2, ITS수=2, 수용 가능 인원=0, 인구수=0.0, 누적자본=-20.0, 누적 만족도=100, 누적보상=0.0
에피소드=48,아파트수=263, 병원수=265, 기지국수=252, ITS수=260, 수용 가능 인원=52400, 인구수=52024.0, 누적자본=263864398.0, 누적 만족도=94.0, 누적보상=16818.0
에피소드=49,아파트수=260, 병원수=248, 기지국수=244, ITS수=288, 수용 가능 인원=51900, 인구수=51653.0, 누적자본=266812137.0, 누적 만족도=89.0, 누적보상=3573.0
에피소드=50,아파트수=277, 병원수=259, 기지국수=262, ITS수=242, 수용 가능 인원=55200, 인구수=54893.0, 누적자본=267909803.0, 누적 만족도=91.0, 누적보상=20105.0
에피소드=51,아파트수=0, 병원수=2, 기지국수=2, ITS수=0, 수용 가능 인원=0, 인구수=0.0, 누적자본=-74.0, 누적 만족도=100, 누적보상=-100.0
에피소드=52,아파트수=251, 병원수=276, 기지국수=265, ITS수=248, 수용 가능 인원=50100, 인구수=49890.0, 누적자본=239019443.0, 누적 만족도=100, 누적보상=21901.0
에피소드=53,아파트수=0, 병원수=2, 기지국수=1, ITS수=2, 수용 가능 인원=0, 인구수=0.0, 누적자본=-43.0, 누적 만족도=100, 누적보상=-100.0
에피소드=54,아파트수=261, 병원수=251, 기지국수=261, ITS수=267, 수용 가능 인원=52200, 인구수=52084.0, 누적자본=277675897.0, 누적 만족도=100, 누적보상=20748.0
에피소드=55,아파트수=251, 병원수=256, 기지국수=279, ITS수=254, 수용 가능 인원=49800, 인구수=49699.0, 누적자본=267980173.0, 누적 만족도=100, 누적보상=21158.0
에피소드=56,아파트수=261, 병원수=238, 기지국수=277, ITS수=264, 수용 가능 인원=52100, 인구수=52053.0, 누적자본=257833039.0, 누적 만족도=100, 누적보상=22639.0
에피소드=57,아파트수=0, 병원수=1, 기지국수=2, ITS수=3, 수용 가능 인원=0, 인구수=0.0, 누적자본=-38.0, 누적 만족도=100, 누적보상=100.0
에피소드=58,아파트수=234, 병원수=235, 기지국수=271, ITS수=300, 수용 가능 인원=46700, 인구수=46659.0, 누적자본=246706360.0, 누적 만족도=100, 누적보상=22235.0
에피소드=59,아파트수=231, 병원수=259, 기지국수=272, ITS수=278, 수용 가능 인원=46100, 인구수=45883.0, 누적자본=222104508.0, 누적 만족도=100, 누적보상=12299.0
에피소드=60,아파트수=272, 병원수=258, 기지국수=252, ITS수=258, 수용 가능 인원=54400, 인구수=54137.0, 누적자본=275753859.0, 누적 만족도=86.0, 누적보상=12758.0
에피소드=61,아파트수=0, 병원수=2, 기지국수=2, ITS수=1, 수용 가능 인원=0, 인구수=0.0, 누적자본=-81.0, 누적 만족도=100, 누적보상=0.0
에피소드=62,아파트수=254, 병원수=261, 기지국수=267, ITS수=258, 수용 가능 인원=50300, 인구수=49826.0, 누적자본=256434787.0, 누적 만족도=100, 누적보상=15920.0
에피소드=63,아파트수=262, 병원수=264, 기지국수=252, ITS수=262, 수용 가능 인원=52200, 인구수=51918.0, 누적자본=258103920.0, 누적 만족도=95.0, 누적보상=3026.0
에피소드=64,아파트수=244, 병원수=255, 기지국수=276, ITS수=265, 수용 가능 인원=48800, 인구수=48641.0, 누적자본=242359461.0, 누적 만족도=100, 누적보상=20161.0
에피소드=65,아파트수=279, 병원수=250, 기지국수=276, ITS수=235, 수용 가능 인원=55700, 인구수=55600.0, 누적자본=286573326.0, 누적 만족도=99.0, 누적보상=7844.0
에피소드=66,아파트수=294, 병원수=248, 기지국수=242, ITS수=256, 수용 가능 인원=57900, 인구수=57552.0, 누적자본=300136422.0, 누적 만족도=63.0, 누적보상=7999.0
에피소드=67,아파트수=266, 병원수=263, 기지국수=246, ITS수=265, 수용 가능 인원=53100, 인구수=52978.0, 누적자본=260548349.0, 누적 만족도=85.0, 누적보상=16301.0
에피소드=68,아파트수=256, 병원수=254, 기지국수=266, ITS수=264, 수용 가능 인원=51200, 인구수=50981.0, 누적자본=259828663.0, 누적 만족도=100, 누적보상=22531.0
에피소드=69,아파트수=274, 병원수=262, 기지국수=253, ITS수=251, 수용 가능 인원=54400, 인구수=54165.0, 누적자본=285631045.0, 누적 만족도=87.0, 누적보상=10645.0
에피소드=70,아파트수=229, 병원수=256, 기지국수=273, ITS수=282, 수용 가능 인원=45500, 인구수=45450.0, 누적자본=241284265.0, 누적 만족도=100, 누적보상=21711.0
에피소드=71,아파트수=243, 병원수=271, 기지국수=275, ITS수=251, 수용 가능 인원=48400, 인구수=48197.0, 누적자본=253957086.0, 누적 만족도=100, 누적보상=22430.0
에피소드=72,아파트수=245, 병원수=274, 기지국수=279, ITS수=242, 수용 가능 인원=48500, 인구수=48143.0, 누적자본=248657817.0, 누적 만족도=100, 누적보상=21675.0
에피소드=73,아파트수=289, 병원수=258, 기지국수=252, ITS수=241, 수용 가능 인원=56800, 인구수=56588.0, 누적자본=297821923.0, 누적 만족도=76.0, 누적보상=3704.0
에피소드=74,아파트수=288, 병원수=246, 기지국수=253, ITS수=253, 수용 가능 인원=57500, 인구수=57450.0, 누적자본=307494487.0, 누적 만족도=73.0, 누적보상=-8121.0
에피소드=75,아파트수=265, 병원수=253, 기지국수=259, ITS수=263, 수용 가능 인원=53000, 인구수=52640.0, 누적자본=264886323.0, 누적 만족도=98.0, 누적보상=13208.0
에피소드=76,아파트수=273, 병원수=266, 기지국수=273, ITS수=228, 수용 가능 인원=54400, 인구수=54062.0, 누적자본=267810373.0, 누적 만족도=100, 누적보상=22013.0
에피소드=77,아파트수=234, 병원수=272, 기지국수=264, ITS수=270, 수용 가능 인원=46700, 인구수=46472.0, 누적자본=224612991.0, 누적 만족도=100, 누적보상=20977.0
에피소드=78,아파트수=285, 병원수=218, 기지국수=274, ITS수=263, 수용 가능 인원=56800, 인구수=56652.0, 누적자본=295875342.0, 누적 만족도=94.0, 누적보상=10250.0
에피소드=79,아파트수=264, 병원수=289, 기지국수=257, ITS수=230, 수용 가능 인원=52600, 인구수=52461.0, 누적자본=271324114.0, 누적 만족도=97.0, 누적보상=16153.0
에피소드=80,아파트수=238, 병원수=295, 기지국수=271, ITS수=236, 수용 가능 인원=47000, 인구수=46992.0, 누적자본=253978891.0, 누적 만족도=100, 누적보상=22242.0
에피소드=81,아파트수=269, 병원수=251, 기지국수=273, ITS수=247, 수용 가능 인원=52900, 인구수=52544.0, 누적자본=263129987.0, 누적 만족도=100, 누적보상=22305.0
에피소드=82,아파트수=0, 병원수=1, 기지국수=3, ITS수=2, 수용 가능 인원=0, 인구수=0.0, 누적자본=-56.0, 누적 만족도=100, 누적보상=-100.0
에피소드=83,아파트수=267, 병원수=261, 기지국수=269, ITS수=243, 수용 가능 인원=52800, 인구수=52664.0, 누적자본=260037569.0, 누적 만족도=100, 누적보상=22851.0
에피소드=84,아파트수=250, 병원수=258, 기지국수=273, ITS수=259, 수용 가능 인원=49100, 인구수=48796.0, 누적자본=263174829.0, 누적 만족도=100, 누적보상=23112.0
에피소드=85,아파트수=288, 병원수=231, 기지국수=274, ITS수=247, 수용 가능 인원=57600, 인구수=57272.0, 누적자본=294656804.0, 누적 만족도=92.0, 누적보상=20654.0
에피소드=86,아파트수=263, 병원수=260, 기지국수=238, ITS수=279, 수용 가능 인원=52200, 인구수=52145.0, 누적자본=276764220.0, 누적 만족도=81.0, 누적보상=1074.0
에피소드=87,아파트수=0, 병원수=1, 기지국수=2, ITS수=3, 수용 가능 인원=0, 인구수=0.0, 누적자본=-28.0, 누적 만족도=100, 누적보상=100.0
에피소드=88,아파트수=242, 병원수=259, 기지국수=279, ITS수=260, 수용 가능 인원=48200, 인구수=48150.0, 누적자본=259466498.0, 누적 만족도=100, 누적보상=22598.0
에피소드=89,아파트수=270, 병원수=282, 기지국수=236, ITS수=252, 수용 가능 인원=53500, 인구수=53432.0, 누적자본=277864011.0, 누적 만족도=74.0, 누적보상=5664.0
에피소드=90,아파트수=276, 병원수=240, 기지국수=260, ITS수=264, 수용 가능 인원=54800, 인구수=54611.0, 누적자본=288586099.0, 누적 만족도=91.0, 누적보상=7661.0
에피소드=91,아파트수=257, 병원수=257, 기지국수=248, ITS수=278, 수용 가능 인원=51300, 인구수=51078.0, 누적자본=260329175.0, 누적 만족도=95.0, 누적보상=12436.0
에피소드=92,아파트수=251, 병원수=248, 기지국수=272, ITS수=269, 수용 가능 인원=49700, 인구수=49638.0, 누적자본=261716053.0, 누적 만족도=100, 누적보상=22195.0
에피소드=93,아파트수=266, 병원수=263, 기지국수=254, ITS수=257, 수용 가능 인원=53200, 인구수=52854.0, 누적자본=280096910.0, 누적 만족도=93.0, 누적보상=-7037.0
에피소드=94,아파트수=257, 병원수=246, 기지국수=285, ITS수=252, 수용 가능 인원=50900, 인구수=50504.0, 누적자본=251135464.0, 누적 만족도=100, 누적보상=22251.0
에피소드=95,아파트수=272, 병원수=269, 기지국수=259, ITS수=240, 수용 가능 인원=54200, 인구수=54020.0, 누적자본=274831963.0, 누적 만족도=92.0, 누적보상=19626.0
에피소드=96,아파트수=285, 병원수=251, 기지국수=233, ITS수=271, 수용 가능 인원=57000, 인구수=56680.0, 누적자본=282771171.0, 누적 만족도=58.0, 누적보상=4988.0
에피소드=97,아파트수=269, 병원수=288, 기지국수=248, ITS수=235, 수용 가능 인원=53700, 인구수=53688.0, 누적자본=287127788.0, 누적 만족도=84.0, 누적보상=10221.0
에피소드=98,아파트수=254, 병원수=266, 기지국수=256, ITS수=264, 수용 가능 인원=50800, 인구수=50544.0, 누적자본=271358980.0, 누적 만족도=100, 누적보상=-6915.0
에피소드=99,아파트수=246, 병원수=235, 기지국수=277, ITS수=282, 수용 가능 인원=49200, 인구수=48944.0, 누적자본=254133267.0, 누적 만족도=100, 누적보상=22317.0
에피소드=100,아파트수=0, 병원수=1, 기지국수=3, ITS수=2, 수용 가능 인원=0, 인구수=0.0, 누적자본=-57.0, 누적 만족도=100, 누적보상=0.0
에피소드=101,아파트수=0, 병원수=1, 기지국수=2, ITS수=2, 수용 가능 인원=0, 인구수=0.0, 누적자본=-21.0, 누적 만족도=100, 누적보상=0.0
에피소드=102,아파트수=290, 병원수=244, 기지국수=252, ITS수=254, 수용 가능 인원=58000, 인구수=57981.0, 누적자본=308882763.0, 누적 만족도=70.0, 누적보상=-10885.0
에피소드=103,아파트수=281, 병원수=253, 기지국수=255, ITS수=251, 수용 가능 인원=54300, 인구수=54027.0, 누적자본=283129643.0, 누적 만족도=89.0, 누적보상=9633.0
에피소드=104,아파트수=289, 병원수=244, 기지국수=258, ITS수=249, 수용 가능 인원=57100, 인구수=56848.0, 누적자본=307079285.0, 누적 만족도=80.0, 누적보상=-22444.0
에피소드=105,아파트수=262, 병원수=266, 기지국수=243, ITS수=269, 수용 가능 인원=51100, 인구수=50943.0, 누적자본=251038289.0, 누적 만족도=91.0, 누적보상=16048.0
에피소드=106,아파트수=252, 병원수=256, 기지국수=263, ITS수=269, 수용 가능 인원=50200, 인구수=49768.0, 누적자본=260259129.0, 누적 만족도=100, 누적보상=22711.0
에피소드=107,아파트수=258, 병원수=261, 기지국수=273, ITS수=248, 수용 가능 인원=51400, 인구수=51325.0, 누적자본=271306611.0, 누적 만족도=100, 누적보상=14304.0
에피소드=108,아파트수=261, 병원수=246, 기지국수=280, ITS수=253, 수용 가능 인원=51800, 인구수=51755.0, 누적자본=279501361.0, 누적 만족도=100, 누적보상=14543.0
에피소드=109,아파트수=256, 병원수=268, 기지국수=252, ITS수=264, 수용 가능 인원=50800, 인구수=50688.0, 누적자본=272944604.0, 누적 만족도=99.0, 누적보상=5235.0
에피소드=110,아파트수=243, 병원수=256, 기지국수=268, ITS수=273, 수용 가능 인원=45900, 인구수=45561.0, 누적자본=231737530.0, 누적 만족도=100, 누적보상=19256.0
에피소드=111,아파트수=272, 병원수=262, 기지국수=258, ITS수=248, 수용 가능 인원=54300, 인구수=53890.0, 누적자본=274305173.0, 누적 만족도=92.0, 누적보상=13038.0
에피소드=112,아파트수=269, 병원수=271, 기지국수=244, ITS수=256, 수용 가능 인원=53000, 인구수=52852.0, 누적자본=280834433.0, 누적 만족도=84.0, 누적보상=-9406.0
에피소드=113,아파트수=271, 병원수=258, 기지국수=264, ITS수=247, 수용 가능 인원=51800, 인구수=51630.0, 누적자본=263916325.0, 누적 만족도=100, 누적보상=22968.0
에피소드=114,아파트수=266, 병원수=271, 기지국수=238, ITS수=265, 수용 가능 인원=52400, 인구수=52394.0, 누적자본=258868553.0, 누적 만족도=80.0, 누적보상=11601.0
에피소드=115,아파트수=259, 병원수=251, 기지국수=264, ITS수=266, 수용 가능 인원=51400, 인구수=51217.0, 누적자본=264489909.0, 누적 만족도=100, 누적보상=22848.0
에피소드=116,아파트수=254, 병원수=264, 기지국수=252, ITS수=270, 수용 가능 인원=50000, 인구수=49744.0, 누적자본=268276119.0, 누적 만족도=100, 누적보상=-3803.0
에피소드=117,아파트수=252, 병원수=253, 기지국수=273, ITS수=262, 수용 가능 인원=46500, 인구수=46395.0, 누적자본=260908846.0, 누적 만족도=100, 누적보상=8492.0
에피소드=118,아파트수=0, 병원수=1, 기지국수=4, ITS수=0, 수용 가능 인원=0, 인구수=0.0, 누적자본=-81.0, 누적 만족도=100, 누적보상=100.0
에피소드=119,아파트수=256, 병원수=267, 기지국수=235, ITS수=282, 수용 가능 인원=50500, 인구수=50339.0, 누적자본=258418833.0, 누적 만족도=86.0, 누적보상=16141.0
에피소드=120,아파트수=286, 병원수=251, 기지국수=247, ITS수=256, 수용 가능 인원=56200, 인구수=55924.0, 누적자본=278519238.0, 누적 만족도=74.0, 누적보상=7127.0
에피소드=121,아파트수=232, 병원수=289, 기지국수=244, ITS수=275, 수용 가능 인원=45600, 인구수=45411.0, 누적자본=239786227.0, 누적 만족도=100, 누적보상=20102.0
에피소드=122,아파트수=0, 병원수=1, 기지국수=3, ITS수=1, 수용 가능 인원=0, 인구수=0.0, 누적자본=-51.0, 누적 만족도=100, 누적보상=-100.0
에피소드=123,아파트수=306, 병원수=237, 기지국수=234, ITS수=263, 수용 가능 인원=60900, 인구수=60780.0, 누적자본=317353931.0, 누적 만족도=41.0, 누적보상=-46126.0
에피소드=124,아파트수=249, 병원수=246, 기지국수=294, ITS수=251, 수용 가능 인원=49800, 인구수=49740.0, 누적자본=263336541.0, 누적 만족도=100, 누적보상=23092.0
에피소드=125,아파트수=246, 병원수=266, 기지국수=288, ITS수=240, 수용 가능 인원=48800, 인구수=48793.0, 누적자본=253592502.0, 누적 만족도=100, 누적보상=22424.0
에피소드=126,아파트수=296, 병원수=260, 기지국수=228, ITS수=256, 수용 가능 인원=56600, 인구수=56459.0, 누적자본=287749621.0, 누적 만족도=53.0, 누적보상=-14138.0
에피소드=127,아파트수=270, 병원수=268, 기지국수=243, ITS수=259, 수용 가능 인원=52900, 인구수=52720.0, 누적자본=267720238.0, 누적 만족도=84.0, 누적보상=15960.0
에피소드=128,아파트수=263, 병원수=259, 기지국수=249, ITS수=269, 수용 가능 인원=52600, 인구수=52510.0, 누적자본=296678339.0, 누적 만족도=90.0, 누적보상=-9850.0
에피소드=129,아파트수=248, 병원수=263, 기지국수=265, ITS수=264, 수용 가능 인원=49600, 인구수=49484.0, 누적자본=253769865.0, 누적 만족도=100, 누적보상=21900.0
에피소드=130,아파트수=267, 병원수=251, 기지국수=269, ITS수=253, 수용 가능 인원=52200, 인구수=51916.0, 누적자본=273848441.0, 누적 만족도=100, 누적보상=55.0
에피소드=131,아파트수=276, 병원수=263, 기지국수=262, ITS수=239, 수용 가능 인원=54400, 인구수=54244.0, 누적자본=267567846.0, 누적 만족도=94.0, 누적보상=20285.0
에피소드=132,아파트수=280, 병원수=269, 기지국수=258, ITS수=233, 수용 가능 인원=55300, 인구수=55125.0, 누적자본=278456034.0, 누적 만족도=87.0, 누적보상=6638.0
에피소드=133,아파트수=243, 병원수=281, 기지국수=228, ITS수=288, 수용 가능 인원=48400, 인구수=48354.0, 누적자본=259160958.0, 누적 만족도=88.0, 누적보상=1214.0
에피소드=134,아파트수=267, 병원수=249, 기지국수=250, ITS수=274, 수용 가능 인원=53400, 인구수=52924.0, 누적자본=280033797.0, 누적 만족도=89.0, 누적보상=12665.0
에피소드=135,아파트수=267, 병원수=239, 기지국수=300, ITS수=234, 수용 가능 인원=52800, 인구수=52271.0, 누적자본=265531274.0, 누적 만족도=100, 누적보상=23127.0
에피소드=136,아파트수=261, 병원수=269, 기지국수=259, ITS수=251, 수용 가능 인원=51700, 인구수=51317.0, 누적자본=254973915.0, 누적 만족도=100, 누적보상=21936.0
에피소드=137,아파트수=277, 병원수=231, 기지국수=275, ITS수=257, 수용 가능 인원=55400, 인구수=55067.0, 누적자본=278943821.0, 누적 만족도=100, 누적보상=19140.0
에피소드=138,아파트수=258, 병원수=270, 기지국수=270, ITS수=242, 수용 가능 인원=51300, 인구수=51118.0, 누적자본=263968731.0, 누적 만족도=100, 누적보상=17455.0
에피소드=139,아파트수=269, 병원수=260, 기지국수=260, ITS수=251, 수용 가능 인원=53700, 인구수=53645.0, 누적자본=281721324.0, 누적 만족도=94.0, 누적보상=22035.0
에피소드=140,아파트수=0, 병원수=3, 기지국수=1, ITS수=0, 수용 가능 인원=0, 인구수=0.0, 누적자본=-117.0, 누적 만족도=100, 누적보상=-100.0
에피소드=141,아파트수=264, 병원수=282, 기지국수=257, ITS수=237, 수용 가능 인원=52500, 인구수=52479.0, 누적자본=277165555.0, 누적 만족도=96.0, 누적보상=1071.0
에피소드=142,아파트수=279, 병원수=236, 기지국수=269, ITS수=256, 수용 가능 인원=54600, 인구수=54092.0, 누적자본=278720415.0, 누적 만족도=100.0, 누적보상=17780.0
에피소드=143,아파트수=274, 병원수=232, 기지국수=259, ITS수=275, 수용 가능 인원=54000, 인구수=53902.0, 누적자본=266349799.0, 누적 만족도=92.0, 누적보상=16259.0
에피소드=144,아파트수=271, 병원수=245, 기지국수=273, ITS수=251, 수용 가능 인원=52700, 인구수=52620.0, 누적자본=270208908.0, 누적 만족도=100, 누적보상=20796.0
에피소드=145,아파트수=260, 병원수=254, 기지국수=274, ITS수=252, 수용 가능 인원=50000, 인구수=49817.0, 누적자본=251299231.0, 누적 만족도=100, 누적보상=22299.0
에피소드=146,아파트수=258, 병원수=270, 기지국수=232, ITS수=280, 수용 가능 인원=50200, 인구수=50151.0, 누적자본=253647229.0, 누적 만족도=84.0, 누적보상=14445.0
에피소드=147,아파트수=260, 병원수=248, 기지국수=286, ITS수=246, 수용 가능 인원=51600, 인구수=51417.0, 누적자본=263880796.0, 누적 만족도=100, 누적보상=22553.0
에피소드=148,아파트수=289, 병원수=260, 기지국수=247, ITS수=244, 수용 가능 인원=56600, 인구수=56515.0, 누적자본=282435503.0, 누적 만족도=72.0, 누적보상=5605.0
에피소드=149,아파트수=235, 병원수=246, 기지국수=280, ITS수=279, 수용 가능 인원=45800, 인구수=45771.0, 누적자본=240689536.0, 누적 만족도=100, 누적보상=21316.0
에피소드=150,아파트수=253, 병원수=285, 기지국수=226, ITS수=276, 수용 가능 인원=50400, 인구수=50261.0, 누적자본=264082195.0, 누적 만족도=78.0, 누적보상=-5357.0
